------------------------------------------------------------------------------------
Date: 7/29/2025 -- 22:42:19 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 39427
decoder.bytes                                 | Total                     | 26128819
decoder.ipv4                                  | Total                     | 39087
decoder.ethernet                              | Total                     | 39427
decoder.arp                                   | Total                     | 340
decoder.tcp                                   | Total                     | 36749
tcp.syn                                       | Total                     | 419
tcp.synack                                    | Total                     | 423
tcp.rst                                       | Total                     | 423
decoder.udp                                   | Total                     | 2318
decoder.icmpv4                                | Total                     | 20
decoder.avg_pkt_size                          | Total                     | 662
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 825
flow.tcp                                      | Total                     | 421
flow.udp                                      | Total                     | 404
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted_needs_work             | Total                     | 342
flow.wrk.flows_evicted_pkt_inject             | Total                     | 401
flow.wrk.flows_evicted                        | Total                     | 62
flow.wrk.flows_injected                       | Total                     | 339
tcp.sessions                                  | Total                     | 419
tcp.ssn_from_cache                            | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 417
tcp.segment_from_cache                        | Total                     | 2737
tcp.segment_from_pool                         | Total                     | 12323
tcp.stream_depth_reached                      | Total                     | 6
tcp.overlap                                   | Total                     | 5
detect.alert                                  | Total                     | 19
detect.alerts_suppressed                      | Total                     | 1274
app_layer.flow.http                           | Total                     | 19
app_layer.tx.http                             | Total                     | 627
app_layer.flow.tls                            | Total                     | 232
app_layer.flow.smb                            | Total                     | 6
app_layer.tx.smb                              | Total                     | 110
app_layer.flow.dcerpc_tcp                     | Total                     | 58
app_layer.tx.dcerpc_tcp                       | Total                     | 296
app_layer.error.dcerpc_tcp.parser             | Total                     | 1
app_layer.flow.ntp                            | Total                     | 28
app_layer.tx.ntp                              | Total                     | 28
app_layer.flow.krb5_tcp                       | Total                     | 25
app_layer.tx.krb5_tcp                         | Total                     | 50
app_layer.flow.quic                           | Total                     | 4
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 59
app_layer.flow.dns_udp                        | Total                     | 295
app_layer.tx.dns_udp                          | Total                     | 1510
app_layer.flow.failed_udp                     | Total                     | 75
flow.end.state.new                            | Total                     | 61
flow.end.state.established                    | Total                     | 349
flow.end.state.closed                         | Total                     | 415
flow.end.tcp_state.established                | Total                     | 3
flow.end.tcp_state.time_wait                  | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 413
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 424
flow.recycler.queue_avg                       | Total                     | 1
flow.recycler.queue_max                       | Total                     | 299
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 472136
flow.memuse                                   | Total                     | 7154304
